task,judge_pair,score_dimension,pearson_r,pearson_p,kendall_tau,kendall_p,n_samples,exact_agreement,within_1_agreement,cohen_kappa
Reading,qwen_vs_llama,score_overall,0.7699828926492422,3.2498918853501484e-22,0.7319981581409255,1.4134450783158294e-16,107,0.12149532710280374,0.6915887850467289,-0.10588235294117654
Reading,qwen_vs_llama,score_fluency,0.6008996315449481,7.771853703107713e-12,0.5923463517456989,2.368493190289561e-12,107,0.17757009345794392,0.5700934579439252,-0.034838993295966514
Reading,qwen_vs_llama,score_faithfulness,0.7892227376559339,5.7057963820047346e-24,0.7748335510192834,2.0066755731397645e-19,107,0.16822429906542055,0.8878504672897196,-0.005809040980143454
Reading,qwen_vs_llama,score_coverage,0.5879099701760119,2.7801482210268038e-11,0.6204475713579429,1.9340683963910917e-12,107,0.07476635514018691,0.37383177570093457,-0.041081081081080884
Reading,qwen_vs_llama,score_usefulness,0.7566306135870898,4.296673131103848e-21,0.7321287555561596,2.5864204612682272e-18,107,0.12149532710280374,0.4392523364485981,-0.03605274000824066
Reading,qwen_vs_mistral,score_overall,0.7545467963771856,6.333205913616021e-21,0.7202021418507129,5.056388010644164e-16,107,0.1588785046728972,0.4672897196261682,-0.021100625596437217
Reading,qwen_vs_mistral,score_fluency,0.5434795411365715,1.4584232859475262e-09,0.5289200104411783,5.998287780627613e-10,107,0.16822429906542055,0.45794392523364486,-0.018720581942661685
Reading,qwen_vs_mistral,score_faithfulness,0.7272015804006149,7.367448132978313e-19,0.6600667481962121,6.466811435288768e-15,107,0.308411214953271,0.8785046728971962,0.14905964535196137
Reading,qwen_vs_mistral,score_coverage,0.5113735504209403,1.815862503195271e-08,0.5354014967825672,1.4463669803182563e-09,107,0.102803738317757,0.3177570093457944,0.016091954022988464
Reading,qwen_vs_mistral,score_usefulness,0.5665125794971432,2.0146048261063784e-10,0.5962157286256065,3.750091429940454e-12,107,0.1308411214953271,0.2616822429906542,0.06113784319275384
Reading,llama_vs_mistral,score_overall,0.7652147523901232,8.332760597166643e-22,0.7040517993569744,2.3769493742280686e-17,107,0.6074766355140186,0.9532710280373832,0.46321070234113715
Reading,llama_vs_mistral,score_fluency,0.8054128647225239,1.3517014182565005e-25,0.7002464453665602,7.411674469250294e-18,107,0.5981308411214953,0.8598130841121495,0.4601032621450364
Reading,llama_vs_mistral,score_faithfulness,0.7102085023244535,1.0705207682673028e-17,0.6506977164076422,2.8041376433983226e-14,107,0.6355140186915887,0.9252336448598131,0.39433962264150946
Reading,llama_vs_mistral,score_coverage,0.6763434898478959,1.2999912989543588e-15,0.6335966003842305,4.061631224257011e-13,107,0.6822429906542056,0.9345794392523364,0.44330527926549346
Reading,llama_vs_mistral,score_usefulness,0.6471589511634702,5.015957121870011e-14,0.6141725118402503,8.787023245895663e-13,107,0.5794392523364486,0.8504672897196262,0.29180761876746586
Interview,qwen_vs_llama,score_overall,0.7313985850918187,2.358219004638722e-22,0.6972217942854994,2.3818403549588317e-17,126,0.30158730158730157,0.9206349206349206,0.08059701492537308
Interview,qwen_vs_llama,score_fluency,0.5070434067801699,1.3733808306600881e-09,0.47965963330444494,3.739003969083257e-09,126,0.30952380952380953,0.8412698412698413,-0.04609218436873763
Interview,qwen_vs_llama,score_faithfulness,0.7974629195102745,5.532094922881979e-29,0.7642851259598199,2.379399032492696e-22,126,0.20634920634920634,0.9285714285714286,0.010367577756833168
Interview,qwen_vs_llama,score_coverage,0.6902844685182062,3.8444055271095636e-19,0.69805838450448,1.492702535871002e-17,126,0.1111111111111111,0.4126984126984127,-0.007496251874063109
Interview,qwen_vs_llama,score_purity,,,,,126,0.6984126984126984,0.6984126984126984,0.0
Interview,qwen_vs_llama,score_usefulness,0.6799102611438221,2.0538349738294463e-18,0.6421968931993859,1.1932732875903032e-15,126,0.2698412698412698,0.5873015873015873,0.06349975763451288
Interview,qwen_vs_mistral,score_overall,0.7052522899489042,3.015887345979664e-20,0.6608089449188783,3.5558948056519815e-16,126,0.18253968253968253,0.746031746031746,-0.05666829506595006
Interview,qwen_vs_mistral,score_fluency,0.5456319981416734,3.922156406299115e-11,0.4924873921506101,1.4448261938210128e-09,126,0.2619047619047619,0.753968253968254,0.09903121636167933
Interview,qwen_vs_mistral,score_faithfulness,0.7578395074546245,9.448727317134327e-25,0.7116653841971093,5.588011150710726e-20,126,0.30158730158730157,0.9523809523809523,0.11039794608472386
Interview,qwen_vs_mistral,score_coverage,0.6425382874253008,5.056776653978734e-16,0.6570713246345706,1.1494205593602675e-15,126,0.1349206349206349,0.31746031746031744,0.033973412112260015
